"","BLCA","BRCA","CHOL","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","READ","STAD","THCA","UCEC"
"SLC2A2",NA,NA,-8.86495482977155,NA,NA,NA,-7.24908186953878,1.47661967371343,-0.647820510435642,-1.88402854872894,NA,NA,NA,NA,-1.13425044290179,NA,NA
"SLC2A4",-5.13363728266987,-4.23991845678297,-3.36725700897713,-2.25213980175508,-2.8667773082798,-3.50106999386399,3.44731843221221,-0.250840004223244,-0.837030633073475,-0.0219930984714498,-0.755458476249641,-0.468439382125357,-1.51938455662093,-2.73669898643342,-2.91897554307156,-0.693175507011166,-4.00273860029889
"SLC2A5",-0.103796755140515,-0.272229777287482,1.69585989551584,-1.63980709281878,1.4039251899905,-0.573733914590148,-3.12712899773074,2.36920021463216,-0.931560532676333,2.39386974039937,2.4755980198102,2.30931146400905,-2.23487687541265,-1.61331429729846,-1.24880982703962,-0.0307758063299044,0.659067915070034
"FBP2",-0.83641252621462,0.410021501819097,NA,0.0950301505833142,-3.08215344946289,-2.08792322659082,NA,-4.08661195574347,-2.98347254088601,-0.143736196616981,-1.77499780471683,-0.516580821433836,1.23936510487603,1.4727173775836,-1.20086765991945,NA,4.72956124222772
"TGFBI",-0.0509647607331694,0.151203178542591,0.220482479671581,2.89389543814227,1.85215546904274,2.99768102921232,-0.838309441403918,2.84833755540411,1.26264485629077,0.209935270831977,0.167796829392355,0.21057054146543,-0.256567706105535,3.24648258032873,0.519623258550769,1.57565989404518,0.174535735557409
"CHST4",1.23033965726246,-2.06108037928962,0.304167777124274,3.23016560101816,-1.00625435882156,-2.69032212501603,-0.60907009033424,-0.194526826735689,1.28409479089898,-8.14192050502775,0.692777734565759,-0.759528836574869,-2.45498054124437,1.22710859880481,2.44063696071303,-0.361281839915979,1.35130742956192
"GPR87",3.62981847013502,-1.37540152191557,NA,NA,3.95260205328499,0.620484851574492,1.16749655894455,NA,NA,NA,3.1715854488621,6.71530654831406,-2.60805352667151,NA,0.183006458347375,4.08070195228776,5.6000308705708
"TFF3",-2.07279223516234,0.870175602752845,0.413403542944009,-0.553694412840908,-0.114254688441676,-3.64600628969216,-2.65710372780515,-0.765229554534743,-2.90674711427863,-0.17972987571174,0.781105581518265,-1.46860401272806,2.06759212957502,-0.566264812022201,0.583557927887558,-5.95029268550009,2.44842257066293
"OGDHL",-0.502746492066105,-0.217828686276166,-4.11893078019652,-2.38425564743737,0.883070779197377,-0.0012108087399163,1.87244597874829,-2.8540793907567,-0.740645509772744,-2.42306160492408,1.95858234674018,3.82081252707289,-0.23125386899938,-0.979789986550253,-0.626712502371747,-2.32509956966274,1.69075436698729
"PC",0.595786764313612,-1.1869372571319,-4.27444009864487,-1.18048462656725,0.128357085052198,0.319632907255436,-1.59280510898399,-1.29134028866503,-1.45298452219076,-1.24862852734992,1.57758035950447,1.64048815393611,-0.14947814837474,-0.660454536235168,-0.545405167189115,1.39106367145411,0.877492511989656
